141,'ANNETTE','PINEAPPLE PRINCESS',0
142,'RAY ANTHONY AND FRANK SINATRA','MELODY OF LOVE',0
143,'APOLLO 100','JOY',0
144,'APPLEJACKS','MEXICAN HAT ROCK',0
145,'APPLEJACKS','ROCKA-CONGA',0
146,'APRIL WINE','YOU COULD HAVE BEEN A LADY',0
147,'APRIL WINE','ROLLER',0
148,'AQUATONES','YOU',0
149,'ARBORS','THE LETTER',0
150,'ARCHIES','BANG-SHANG-A-LANG',0
151,'ARCHIES','SUGAR; SUGAR',1
152,'ARCHIES','JINGLE JANGLE',0
153,'ARCHIES','WHO*S YOUR BABY',0
154,'TONI ARDEN','PADRE',0
155,'ARGENT','HOLD YOUR HEAD UP',0
156,'RUSSELL ARMS','CINCO ROBLES (FIVE OAKS)',0
157,'LOUIS ARMSTRONG','THEME FROM *THE THREEPENNY OPERA* (MACK THE KNIFE)',0
158,'LOUIS ARMSTRONG','BLUEBERRY HILL',0
159,'LOUIS ARMSTRONG','HELLO; DOLLY',1
160,'EDDY ARNOLD','MAKE THE WORLD GO AWAY',0
161,'EDDY ARNOLD','I WANT TO GO WITH YOU',0
162,'EDDY ARNOLD','THE LAST WORD IN LONESOME IS ME',0
163,'ASHFORD AND SIMPSON','FOUND A CURE',0
164,'ASHTON; GARDNER; AND DYKE','RESURRECTION SHUFFLE',0
165,'ASSEMBLED MULTITUDE','OVERTURE FROM TOMMY',0
166,'ASSOCIATION','ALONG COMES MARY',0
167,'ASSOCIATION','CHERISH',1
168,'ASSOCIATION','PANDORA*S GOLDEN HEEBIE JEEBIES',0
169,'ASSOCIATION','WINDY',1
170,'ASSOCIATION','NEVER MY LOVE',0
171,'ASSOCIATION','EVERYTHING THAT TOUCHES YOU',0
172,'ASSOCIATION','TIME FOR LIVIN*',0
173,'ATLANTA RHYTHM SECTION','DORAVILLE',0
174,'ATLANTA RHYTHM SECTION','SO INTO YOU',0
175,'ATLANTA RHYTHM SECTION','IMAGINARY LOVER',0
176,'ATLANTA RHYTHM SECTION','I*M NOT GONNA LET IT BOTHER ME TONIGHT',0
177,'ATLANTA RHYTHM SECTION','DO IT OR DIE',0
178,'ATLANTA RHYTHM SECTION','SPOOKY',0
179,'SIL AUSTIN','SLOW WALK',0
180,'FRANKIE AVALON','DEDE DINAH',0
181,'FRANKIE AVALON','GINGER BREAD',0
182,'FRANKIE AVALON','I*LL WAIT FOR YOU',0
183,'FRANKIE AVALON','VENUS',1
184,'FRANKIE AVALON','BOBBY SOX TO STOCKINGS',0
185,'FRANKIE AVALON','A BOY WITHOUT A GIRL',0
186,'FRANKIE AVALON','JUST ASK YOUR HEART',0
187,'FRANKIE AVALON','WHY',1
188,'FRANKIE AVALON','SWINGING ON A RAINBOW',0
189,'FRANKIE AVALON','DON*T THROW AWAY ALL THOSE TEARDROPS',0
